fixation_index,count,first_frame_idx,last_frame_idx
0,37,752,788
1,36,795,830
2,37,838,874
3,36,881,916
4,38,924,961
5,37,969,1005
6,34,1014,1047
7,37,1056,1092
8,38,1100,1137
9,37,1144,1180
