event,timestamp_ns
pattern_start,1757332172485631300
fixation_start,1757332172931390400
fixation_end,1757332174939362100
fixation_start,1757332175370273000
fixation_end,1757332177376320600
fixation_start,1757332177809114300
fixation_end,1757332179812351300
fixation_start,1757332180182674700
fixation_end,1757332182185943200
fixation_start,1757332182624754200
fixation_end,1757332184631158200
pattern_end,1757332186633261200
