fixation_index,x_px,y_px,rel_x,rel_y
0,300,200,0.2,0.2
1,752,200,0.5,0.2
2,1203,200,0.8,0.2
3,300,501,0.2,0.5
4,752,501,0.5,0.5
5,1203,501,0.8,0.5
6,300,802,0.2,0.8
7,752,802,0.5,0.8
8,1203,802,0.8,0.8
