fixation_index,x_px,y_px,rel_x,rel_y
0,150,501,0.1,0.5
1,270,501,0.18,0.5
2,391,501,0.26,0.5
3,511,501,0.34,0.5
4,631,501,0.42,0.5
5,752,501,0.5,0.5
6,872,501,0.58,0.5
7,992,501,0.66,0.5
8,1112,501,0.74,0.5
9,1233,501,0.82,0.5
